id;num;barcode;prix;cout_preparation;def_num_sequence;prix_num_sequence;point_de_vente_ref;element_menu_ref
1;22534;alarmed;4695;5853;11542;11395;11621;7286
2;24080;readily bandwidth remark;30113;4694;13010;5543;31410;23294
3;28468;huzzah;20934;13826;7815;18345;30213;25018
4;26939;curiously;21470;6517;25827;22208;9344;21784
5;13984;unlike;291;9176;21010;27471;25602;8715
6;7150;spice now;29742;4705;26050;20644;10215;26656
7;19739;helplessly;32211;3179;37;9445;23068;26125
8;23187;although;12773;11420;6710;31184;14374;2016
9;11865;what;26931;5308;16307;30580;920;12760
10;14246;with alienated;7751;31247;2742;32029;3698;7172
