id;nom_court;nom_mstr;num_mstr;name;etablissement_ref
1;945;vainly gadzooks;9386;below yippee over;flawless cool sans
2;7551;solicit unnaturally;14105;blah gosh although;rebuff till
3;2561;that hence;2403;beside for;bravely versus
4;16102;anticodon;1507;however ugh;that and valentine
5;27386;aha print cannibalise;22917;um instead;going
6;8292;deceivingly;31920;or neglect gee;which inventory hydrolyse
7;15158;hearten;27137;hypothesise ring amidst;ah
8;11535;viability now compete;17270;how monthly whoever;creamy
9;4066;for;18238;which settler scarcely;to
10;31599;even absent kinase;12200;unto phooey anticodon;ouch
