id;nom;nom_court;type_value;value;etablissement_ref
1;whup;march ick;quarrelsomely league;9897.95;atop nightlife smart
2;boom;annual;supposing deduction outbid;9376.32;minor under
3;ah blossom;excluding rightfully confusion;oh gut whereas;16943.74;psst
4;gah;pro;shadowbox;4294.18;godfather deploy considering
5;beneath unnecessarily busily;colorfully once;igloo;28449.63;teammate
6;hungrily barring;bashfully however excluding;carpool redress napkin;6258.22;negative yum
7;solvency distinction;quintessential among;since blah sure-footed;4951.96;nasalise however
8;whole where;term acidly;basket;7639.74;disbar annually into
9;sternly;meh diligently;as psst;17399.77;ugh although lively
10;typewriter;sonar snuggle;ah foolhardy hmph;738.35;even
