id;master_id;nom;nom_court;family_group_ref;prix;menu_ref
1;2999;supposing;imagineer;25244;29588;24127
2;7471;worth;overload;13040;1823;6853
3;6938;once whoa;rarely elderly;26292;22180;6937
4;219;boo dandelion pigsty;deduct obnoxiously graduate;27551;10728;5067
5;11975;embossing hastily towards;too meh overreact;23831;12512;664
6;3021;afore;wherever past newsprint;2262;2086;31052
7;29153;adult;zowie;26148;1681;4247
8;29486;underneath brand;dreamily ack;14017;15472;24104
9;11231;whose;blah which;4582;25817;10354
10;15395;transcend an considering;quirkily;12084;6591;4852
