id;nom;est_groupe;source_version;societe_ref;hier_ref
c6382f95-e04c-4fc1-9c42-41afd1a63ddf;carefully quickly subdued;false;cross-contamination;gulp;consequently
2316a4ed-a9c1-416e-9cef-4f7a9244717d;about devise turbulent;false;notwithstanding than;woefully;provided rejigger
86f5e89f-409b-469c-bf08-a0d26015b2e0;rough;true;unless unto;an;sweetly usher scratchy
deeb0025-ccc6-4d3d-9528-248eaa4c3ea5;tapioca nephew tensely;false;meh;bah;now
c0897455-17d6-402f-a3c9-c2dad3e906c7;object;false;seldom that hence;whoa;whoever dicker
2afcb1fa-399e-44b1-9b23-269304656e9f;pendant quantify afore;true;ouch;swift awareness;lightly consequently
26f9c116-4309-441c-a6d6-3d4bac31fa2a;throughout best improbable;false;storyboard woot;curry tightly;yet
c55c1ec5-9ff2-41fc-89f0-3eb211d51235;nautical near;false;aboard who scarily;perfumed oh;yahoo immense
ba4a5f4e-125c-4ea9-929f-bd867e169a55;storyboard;true;cop;throughout dead cop;deprave
866d6c2f-af39-4339-8427-4b663fced927;whenever than;true;yuck;onto tromp athwart;cross
