id;facture_en_tete_ref;num_ligne;detail_type;utc_date_time;lcl_date_time;num_siege;niveau_prix;total_affiche;quantite_affiche;est_erreur;est_nul;est_retourne;est_invisible;total_ligne;code_raison_ref;multiplicateur;reference_info;reference_info_2;partie_de_journee_ref;periode_de_service_ref;num_chrono;parent_facture_detail_ref;taxe_pourcentage;taxe_montant;mode_paiement_total;prix;transaction_employe_ref;transfert_employe_ref;manager_employe_ref;repas_employe_ref;remise_ref;remise_element_menu_ref;commission_service_ref;mode_paiement_ref;element_menu_ref
1;22186;12331;entrench brr;2025-05-25T16:27:02;2025-05-25T20:45:46;tattered;10640.4;29838.34;25723;false;true;false;false;28319;10107;15659;blight forage amnesty;dispense;6892;24456;5763;24424;8695;17155;19275;18297;14895;20694;15636;10507;17699;16274;8782;19118;21608
2;29906;23658;content baa;2025-05-26T09:16:55;2025-05-25T17:24:06;woot;21763.06;29924.28;2735;false;true;true;true;20644;30629;19698;youthfully;deck;25426;30750;13032;10461;27319;2577;8559;1915;31982;9539;17694;14102;6226;23065;25732;18481;9959
3;1037;12707;zesty geez deflect;2025-05-25T19:08:25;2025-05-25T16:12:18;quixotic mutate;3525.18;5614.59;29816;false;false;false;false;19985;438;1266;however by;onto to nephew;30943;27262;831;4525;31821;26365;6599;10442;599;8229;13253;21703;15795;17784;18212;18079;22512
4;13453;25360;backbone;2025-05-25T18:17:02;2025-05-26T08:25:43;micromanage highly like;8075.07;24099.86;29914;false;true;false;true;17411;22712;11649;vice;ugh democratize;14098;24244;13789;29135;8962;11082;27677;2627;25255;1882;19036;7904;21377;20083;24787;20233;14657
5;9916;26544;golden;2025-05-25T20:35:41;2025-05-26T12:31:21;regarding jealously phooey;20794.13;19102.19;13049;false;true;false;false;20642;11881;21011;micromanage brr archaeology;vast failing;11980;5392;12659;6232;6707;9725;585;29079;19147;541;14742;13326;16687;13236;21486;3732;26678
6;8607;13830;carefully portly;2025-05-26T10:11:56;2025-05-26T05:41:59;acquire fooey gruesome;23323.65;13320.88;21855;false;false;true;true;22345;29940;6306;brr;concerned obnoxiously excluding;27164;27995;30809;31727;18796;15835;6230;23455;11529;6713;4695;32456;7016;7317;29282;16661;32244
7;21582;22415;likewise settler oxygenate;2025-05-25T16:16:23;2025-05-26T05:49:02;around tremendously;28065.38;17094.33;4762;false;true;false;true;26441;7747;4044;soon steeple duh;obligation unsightly wide;20448;17734;4053;19163;28698;5642;25340;4446;24792;6275;26515;8676;21152;24857;3284;17342;30133
8;19571;2056;duh;2025-05-26T06:11:50;2025-05-26T04:19:22;once;22845.92;30214.42;31963;false;false;false;false;5715;24018;14934;enlist webbed among;snoop;2496;20209;27231;9081;5901;9000;25836;1353;16135;29299;5667;8074;15136;24818;18340;9821;6739
9;12636;27805;stuff wrathful;2025-05-26T05:29:03;2025-05-25T20:07:00;supportive meanwhile;24429.35;10807.49;13340;false;false;false;false;11422;4672;21859;from;courageously;22758;27418;12213;22949;19415;14302;28965;23505;23527;21069;2737;14289;14846;28407;19665;15155;676
10;28602;30824;above anti finally;2025-05-25T18:22:18;2025-05-25T13:46:00;from lobster brightly;26364.18;1251.22;28600;false;true;false;true;11967;22163;16555;from;oh;14463;20402;14131;15249;5827;27164;16275;6755;29577;9634;4880;26662;8592;8288;18436;27640;24177
