id;num;facture_ref;ouverture_date_time;fermeture_date_time;est_annule;nbre_pax;num_table;taxe_montant_total;sous_total;facture_total;commission_total;tip_total;remise_total;erreurs_corrigees_total;retour_total;xfer_to_facture_en_tete_ref;xfer_status;categorie_point_de_vente_ref;point_de_vente_ref
1;3224;shudder difficult quit;2025-05-25T15:12:15;2025-05-25T23:50:04;false;21301;10516;5622;10749;4954;28415;4036;12459;31747;1569;2003;technician meanwhile pace;31129;10284
2;28652;ah;2025-05-26T08:29:50;2025-05-26T06:31:29;false;17104;8139;31396;25455;19837;3608;31174;23206;4830;29566;29238;upwardly license;6836;29301
3;22399;or onto boohoo;2025-05-25T18:48:56;2025-05-25T13:55:46;false;14620;11548;18469;18079;14152;12195;16802;27312;19062;21450;25024;unless;18570;16965
4;4137;ring;2025-05-25T17:03:12;2025-05-25T21:03:22;true;20999;25306;29690;26739;15432;15945;22825;2772;3674;21813;15200;chapel toothbrush;7407;28979
5;17812;usher midst psst;2025-05-25T13:53:59;2025-05-26T11:09:27;true;13162;31496;16151;7090;14473;10703;20075;19854;14817;28453;22695;past christen hm;15022;7883
6;7775;downright;2025-05-25T21:05:53;2025-05-26T06:12:18;false;1674;19093;9379;27578;9226;8684;1243;11406;19133;25900;2902;elliptical;10988;21821
7;26365;helplessly;2025-05-26T01:33:51;2025-05-26T07:40:06;false;4458;30011;19362;15912;15750;3314;20788;23594;4723;1881;22844;incidentally;31250;613
8;30579;angrily;2025-05-25T17:00:16;2025-05-26T07:25:56;false;23237;16716;30090;17338;21151;25400;17823;30106;1466;150;31981;instead;29056;9597
9;27683;yahoo delectable;2025-05-25T22:47:20;2025-05-26T03:29:59;true;29523;15142;25910;880;28164;9536;11667;27157;12475;3626;12166;ah energetically;17483;14897
10;10042;pulp traduce upside-down;2025-05-26T05:48:48;2025-05-26T13:02:04;false;29403;16158;25967;6875;232;1501;13896;6323;32090;9701;30289;down;12659;2519
