id;nom;parent_hier_id;unit_id
90fac86a-ebc3-4ecc-8974-20531a351d56;worth;silently;cheerfully bah steeple
1299266e-8a21-4af6-9cc3-f0e46ecb8a6e;uselessly exalt;during well but;necklace
5a625686-f644-47e5-9b6e-8382868afbbd;gladly ghost;unibody gosh yahoo;safe ascertain
2d2d4db7-5a46-455f-8584-ae624a3f0c2a;tomorrow;before;hmph yowza antelope
19b47caa-ea4f-46c5-ab35-19393f965dfd;aw bide;pretty;verify gleefully whether
4e164348-e3b2-4718-8e73-2cfe2aef2f1c;task insignificant;ribbon gadzooks;atop fooey minor
1847be65-e89b-4b79-bf0c-074d3c945097;camouflage yahoo verbally;jive;upon ferret
501a2fa3-36e5-4e57-8320-6d60a924bb5d;superficial;oh;of masticate
3fd6913e-37b1-4866-84c1-60e257df4405;order;failing eventually;allocation comfortable
60c2b926-e14b-497c-9d44-97507660dca3;mmm hm quarrelsomely;space oh pfft;hm
