id;nom;description;etablissement_ref
1;march yippee mantua;amidst coagulate fooey;place round hence
2;exasperation truthfully pessimistic;fortunately;vengeful forenenst
3;haversack ravage prohibition;versus;across
4;ham for fantastic;woot;versus blah
5;other heating;upliftingly whereas;spectacles deeply
6;knit mechanically;quintessential well;testing
7;woeful ouch biodegrade;treble;because natural circular
8;self-confidence duh;annual once than;conversation qua
9;deeply triumphantly;plain pish;chow guacamole
10;scoff;how pfft yippee;pro baseboard
