id;nom;nom_court;nom_mstr;type;etablissement_ref
1;drat hm;urgently babyish and;aha;briefly foolhardy;athwart
2;more without each;grouper phooey;fencing blindly;majestically aw past;slimy however
3;incidentally across to;because negative;pulverize famously;till;crowded gee underneath
4;cow powerful phew;best-seller;know eventually;deer;abandoned reconsideration
5;wallop;lest why accurate;which apologise;that limited;up
6;meh;feline quantify;kindly;hopelessly submissive;hoof
7;form sometimes fair;testimonial austere;ack clearly;boo and closely;new amongst
8;treasure;uncommon shirk;however tenant;irritably now publication;yawningly behest
9;sans um petal;gah;availability;out readies vanadyl;which from
10;woot dally;utilization nasalise;uh-huh preheat;upon yellowish witty;more pitiful
