id;time_range_start;time_range_end;nom
1;qualified;that furthermore;obesity
2;inasmuch modulo taut;now;pish desk courteous
3;pretty yowza failing;whereas;aw
4;where;birth appliance;playfully before
5;well-documented;truly geez any;accompany shrilly
6;shameless warmhearted wriggler;gummy squirm pfft;replicate repeatedly sate
7;apropos obnoxiously;poor satirise well;for begonia
8;embalm hence recede;lest unique cinema;afore longingly quick
9;gosh fortunately;aw;yowza boldly
10;once status;across verve empty;behind
