id;nom;nom_court;est_actif;etablissement_ref;hier_ref
1;preheat diver;courteous;true;fatally;until eek
2;coincide total;massive freely zebra;true;yowza;kissingly now
3;abnormally silk silk;for joyously deduce;true;ajar;amidst self-assured orchestrate
4;boastfully how;oof diligently;false;in although;mockingly
5;boohoo confusion t-shirt;apprehensive vaguely oh;true;unbearably beneficial furiously;nicely
6;essential dependency blah;cemetery;true;afterwards um dimly;courageously deliberately longingly
7;crushing;with goose;true;abaft selfishly;or fly
8;by;save;true;save morbidity label;gazebo
9;although;likewise sermon;false;whenever screw;shameless gently sympathetically
10;if stable solemnly;furthermore anxiously;false;reflate because;wherever almost
