id;nom;nom_court;nom_mstr;type_value;value;point_de_vente_ref
1;brr unsung;perfumed;underneath;whoever through;14610.94;23292
2;lazily;ha;gah;colorless boastfully;11649.75;27896
3;pro;adolescent design;readily;resource;14179.06;31919
4;than worth;wiggly ocelot blah;through;deploy;14603.03;30148
5;oof;vestment worthwhile politely;near;gee;3310.76;9035
6;for despite brr;godparent unsightly;drowse fax gift;per hm;25160.56;18935
7;cauliflower;splay because toothbrush;than;apud haul;20607.74;3890
8;through the;whenever absent although;close stale dilate;duh vague;5165.69;15499
9;on than;preclude uh-huh calculus;youthfully;ah;27862.08;18299
10;vaguely minor;attend till;wordy um nougat;or dime gum;30332.84;12194
