id;nom;nom_court
c5535442-697a-49b2-9dfa-7d96f0b44942;fooey;ick cripple plus
fc66e42d-111e-45c8-b4c1-33e185979f9f;ameliorate onto frank;handsome given fatal
a36b95dd-f3eb-4439-b446-4f1b99c17ee1;stunt baa likable;willfully wrong
c31408cf-b298-4f78-beaa-64708542aa65;toothpick;recklessly rebuild abaft
5a83bde5-50ab-4a67-b757-3dfffe582417;who;euphonium sneaky
7ac8824e-8ef1-4aed-bacf-ec18061883a4;but drat;quarrelsomely
bd4aa220-ba6a-49ed-8811-eb2cb08d3429;ugh bestride morbidity;fooey generally
cceb2626-3731-48b0-86df-be8a1875958c;healthily mouser frightfully;who
218e86d4-d67e-40d4-9307-f94c958670db;decide yum regularly;down absent gee
e0c9298c-3a9e-4f84-acbb-862719b986bd;cleverly ultimate;miskey
