id;nom;nom_court;vat_tax_rate;class_id;tax_type;etablissement_ref
1;poorly toe;gratefully;10882;29593;18565;beyond tense
2;wetly when till;knitting inside;19979;4628;26418;rewrite uproot
3;whose sans;hence federate;21894;17222;20234;until ah
4;makeover reassuringly commodity;at minus across;23549;21156;8656;what psst
5;really merge outrun;chromakey furthermore;4630;1008;30117;necklace midst
6;out that;limply than march;10192;12620;5585;uh-huh actual
7;doting;yearly;525;15235;12216;knottily political
8;surprised helpfully;mythology digestive incidentally;2955;5478;14843;unfreeze bah
9;phew indeed capsize;potentially;4442;1799;8020;dash
10;asset encode;throughout;30750;30315;6740;if cantaloupe
